Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_300_445,VPWR,li1,210.9100,829.6000,1.800000
FILLER_300_433,VPWR,li1,207.4600,829.6000,1.800000
FILLER_300_421,VPWR,li1,201.9400,829.6000,1.800000
FILLER_300_417,VPWR,li1,198.0300,829.6000,1.800000
FILLER_300_405,VPWR,li1,194.5800,829.6000,1.800000
FILLER_300_393,VPWR,li1,189.0600,829.6000,1.800000
FILLER_300_389,VPWR,li1,185.1500,829.6000,1.800000
FILLER_300_377,VPWR,li1,181.7000,829.6000,1.800000
FILLER_300_365,VPWR,li1,176.1800,829.6000,1.800000
FILLER_300_361,VPWR,li1,172.2700,829.6000,1.800000
FILLER_300_349,VPWR,li1,168.8200,829.6000,1.800000
FILLER_300_337,VPWR,li1,163.3000,829.6000,1.800000
FILLER_300_333,VPWR,li1,159.3900,829.6000,1.800000
FILLER_300_321,VPWR,li1,155.9400,829.6000,1.800000
FILLER_300_309,VPWR,li1,150.4200,829.6000,1.800000
FILLER_300_305,VPWR,li1,146.5100,829.6000,1.800000
FILLER_300_293,VPWR,li1,143.0600,829.6000,1.800000
FILLER_300_281,VPWR,li1,137.5400,829.6000,1.800000
FILLER_300_277,VPWR,li1,133.6300,829.6000,1.800000
FILLER_300_265,VPWR,li1,130.1800,829.6000,1.800000
FILLER_300_253,VPWR,li1,124.6600,829.6000,1.800000
FILLER_300_249,VPWR,li1,120.7500,829.6000,1.800000
FILLER_300_237,VPWR,li1,117.3000,829.6000,1.800000
FILLER_300_225,VPWR,li1,111.7800,829.6000,1.800000
FILLER_300_221,VPWR,li1,107.8700,829.6000,1.800000
FILLER_300_209,VPWR,li1,104.4200,829.6000,1.800000
FILLER_300_197,VPWR,li1,98.9000,829.6000,1.800000
FILLER_300_193,VPWR,li1,94.9900,829.6000,1.800000
FILLER_300_181,VPWR,li1,91.5400,829.6000,1.800000
FILLER_300_169,VPWR,li1,86.0200,829.6000,1.800000
FILLER_300_165,VPWR,li1,82.1100,829.6000,1.800000
FILLER_300_153,VPWR,li1,78.6600,829.6000,1.800000
FILLER_300_141,VPWR,li1,73.1400,829.6000,1.800000
FILLER_300_137,VPWR,li1,69.2300,829.6000,1.800000
FILLER_300_125,VPWR,li1,65.7800,829.6000,1.800000
FILLER_300_113,VPWR,li1,60.2600,829.6000,1.800000
FILLER_300_109,VPWR,li1,56.3500,829.6000,1.800000
FILLER_300_97,VPWR,li1,52.9000,829.6000,1.800000
FILLER_300_85,VPWR,li1,47.3800,829.6000,1.800000
FILLER_300_81,VPWR,li1,43.4700,829.6000,1.800000
FILLER_300_69,VPWR,li1,40.0200,829.6000,1.800000
FILLER_300_57,VPWR,li1,34.5000,829.6000,1.800000
FILLER_300_53,VPWR,li1,30.5900,829.6000,1.800000
FILLER_300_41,VPWR,li1,27.1400,829.6000,1.800000
FILLER_300_29,VPWR,li1,21.6200,829.6000,1.800000
FILLER_300_27,VPWR,li1,18.1700,829.6000,1.800000
FILLER_300_15,VPWR,li1,15.1800,829.6000,1.800000
FILLER_300_3,VPWR,li1,9.6600,829.6000,1.800000
FILLER_299_1773,VPWR,li1,822.0200,824.1600,1.800000
FILLER_299_1761,VPWR,li1,818.3400,824.1600,1.800000
FILLER_299_1749,VPWR,li1,812.8200,824.1600,1.800000
FILLER_299_1737,VPWR,li1,807.3000,824.1600,1.800000
FILLER_299_1735,VPWR,li1,803.8500,824.1600,1.800000
FILLER_299_1729,VPWR,li1,802.2400,824.1600,1.800000
FILLER_299_1717,VPWR,li1,798.1000,824.1600,1.800000
FILLER_299_1705,VPWR,li1,792.5800,824.1600,1.800000
FILLER_299_1693,VPWR,li1,787.0600,824.1600,1.800000
FILLER_299_1681,VPWR,li1,781.5400,824.1600,1.800000
FILLER_299_1679,VPWR,li1,778.0900,824.1600,1.800000
FILLER_299_1673,VPWR,li1,776.4800,824.1600,1.800000
FILLER_299_1661,VPWR,li1,772.3400,824.1600,1.800000
FILLER_299_1649,VPWR,li1,766.8200,824.1600,1.800000
FILLER_299_1637,VPWR,li1,761.3000,824.1600,1.800000
FILLER_299_1625,VPWR,li1,755.7800,824.1600,1.800000
FILLER_299_1623,VPWR,li1,752.3300,824.1600,1.800000
FILLER_299_1617,VPWR,li1,750.7200,824.1600,1.800000
FILLER_299_1605,VPWR,li1,746.5800,824.1600,1.800000
FILLER_299_1593,VPWR,li1,741.0600,824.1600,1.800000
FILLER_299_1581,VPWR,li1,735.5400,824.1600,1.800000
FILLER_299_1569,VPWR,li1,730.0200,824.1600,1.800000
FILLER_299_1567,VPWR,li1,726.5700,824.1600,1.800000
FILLER_299_1561,VPWR,li1,724.9600,824.1600,1.800000
FILLER_299_1549,VPWR,li1,720.8200,824.1600,1.800000
FILLER_299_1537,VPWR,li1,715.3000,824.1600,1.800000
FILLER_299_1525,VPWR,li1,709.7800,824.1600,1.800000
FILLER_299_1513,VPWR,li1,704.2600,824.1600,1.800000
FILLER_299_1511,VPWR,li1,700.8100,824.1600,1.800000
FILLER_299_1505,VPWR,li1,699.2000,824.1600,1.800000
FILLER_299_1493,VPWR,li1,695.0600,824.1600,1.800000
FILLER_299_1481,VPWR,li1,689.5400,824.1600,1.800000
FILLER_299_1469,VPWR,li1,684.0200,824.1600,1.800000
FILLER_299_1457,VPWR,li1,678.5000,824.1600,1.800000
FILLER_299_1455,VPWR,li1,675.0500,824.1600,1.800000
FILLER_299_1449,VPWR,li1,673.4400,824.1600,1.800000
FILLER_299_1437,VPWR,li1,669.3000,824.1600,1.800000
FILLER_299_1425,VPWR,li1,663.7800,824.1600,1.800000
FILLER_299_1413,VPWR,li1,658.2600,824.1600,1.800000
FILLER_299_1401,VPWR,li1,652.7400,824.1600,1.800000
FILLER_299_1399,VPWR,li1,649.2900,824.1600,1.800000
FILLER_299_1393,VPWR,li1,647.6800,824.1600,1.800000
FILLER_299_1381,VPWR,li1,643.5400,824.1600,1.800000
FILLER_299_1369,VPWR,li1,638.0200,824.1600,1.800000
