Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_300_97,VGND,li1,52.9000,826.8800,0.000000
FILLER_300_85,VGND,li1,47.3800,826.8800,0.000000
FILLER_300_81,VGND,li1,43.4700,826.8800,0.000000
FILLER_300_69,VGND,li1,40.0200,826.8800,0.000000
FILLER_300_57,VGND,li1,34.5000,826.8800,0.000000
FILLER_300_53,VGND,li1,30.5900,826.8800,0.000000
FILLER_300_41,VGND,li1,27.1400,826.8800,0.000000
FILLER_300_29,VGND,li1,21.6200,826.8800,0.000000
FILLER_300_27,VGND,li1,18.1700,826.8800,0.000000
FILLER_300_15,VGND,li1,15.1800,826.8800,0.000000
FILLER_300_3,VGND,li1,9.6600,826.8800,0.000000
FILLER_299_1773,VGND,li1,822.0200,826.8800,0.000000
FILLER_299_1761,VGND,li1,818.3400,826.8800,0.000000
FILLER_299_1749,VGND,li1,812.8200,826.8800,0.000000
FILLER_299_1737,VGND,li1,807.3000,826.8800,0.000000
FILLER_299_1735,VGND,li1,803.8500,826.8800,0.000000
FILLER_299_1729,VGND,li1,802.2400,826.8800,0.000000
FILLER_299_1717,VGND,li1,798.1000,826.8800,0.000000
FILLER_299_1705,VGND,li1,792.5800,826.8800,0.000000
FILLER_299_1693,VGND,li1,787.0600,826.8800,0.000000
FILLER_299_1681,VGND,li1,781.5400,826.8800,0.000000
FILLER_299_1679,VGND,li1,778.0900,826.8800,0.000000
FILLER_299_1673,VGND,li1,776.4800,826.8800,0.000000
FILLER_299_1661,VGND,li1,772.3400,826.8800,0.000000
FILLER_299_1649,VGND,li1,766.8200,826.8800,0.000000
FILLER_299_1637,VGND,li1,761.3000,826.8800,0.000000
FILLER_299_1625,VGND,li1,755.7800,826.8800,0.000000
FILLER_299_1623,VGND,li1,752.3300,826.8800,0.000000
FILLER_299_1617,VGND,li1,750.7200,826.8800,0.000000
FILLER_299_1605,VGND,li1,746.5800,826.8800,0.000000
FILLER_299_1593,VGND,li1,741.0600,826.8800,0.000000
FILLER_299_1581,VGND,li1,735.5400,826.8800,0.000000
FILLER_299_1569,VGND,li1,730.0200,826.8800,0.000000
